mdse_item_i, co_loc_i, p_sls_d, customer_paid_price, own_retl_a, sls_retl_a, base_price
5505987,16,5/31/18,1.12,1.12,1.12,1.12
5505987,16,6/2/18,1.12,1.12,1.12,1.12
5505987,17,5/19/18,1.12,1.12,1.12,1.12
5505987,17,5/19/18,1.06,1.12,1.12,1.12
5505987,17,5/21/18,1.12,1.12,1.12,1.12
5505987,17,5/21/18,1.12,1.12,1.12,1.12
5505987,17,5/23/18,1.12,1.12,1.12,1.12
5505987,17,5/24/18,1.06,1.12,1.12,1.12
5505987,17,5/24/18,1.12,1.12,1.12,1.12
5505987,17,5/24/18,1.12,1.12,1.12,1.12
5505987,17,5/26/18,1.12,1.12,1.12,1.12
5505987,17,6/3/18,1.06,1.12,1.12,1.12
5505987,17,6/3/18,1.06,1.12,1.12,1.12
5505987,17,6/5/18,1.12,1.12,1.12,1.12
5505987,17,6/5/18,1.12,1.12,1.12,1.12
5505987,17,6/8/18,1.12,1.12,1.12,1.12
5505987,17,6/11/18,1.06,1.12,1.12,1.12
5505987,30,5/17/18,1.12,1.12,1.12,1.12
5505987,30,5/19/18,1.12,1.12,1.12,1.12
5505987,30,5/26/18,1.12,1.12,1.12,1.12
5505987,30,5/31/18,1.06,1.12,1.12,1.12
5505987,30,6/6/18,1.06,1.12,1.12,1.12
5505987,30,6/8/18,1.12,1.12,1.12,1.12
5505987,30,6/12/18,1.12,1.12,1.12,1.12
5505987,30,6/12/18,1.12,1.12,1.12,1.12
5505987,36,5/10/18,1.12,1.12,1.12,1.12
5505987,36,5/10/18,1.12,1.12,1.12,1.12
5505987,36,5/10/18,1.07,1.12,1.12,1.12
5505987,36,5/11/18,1.06,1.12,1.12,1.12
5505987,36,5/12/18,1.06,1.12,1.12,1.12
5505987,36,5/13/18,1.12,1.12,1.12,1.12
5505987,36,5/13/18,1.12,1.12,1.12,1.12
5505987,36,5/13/18,1.12,1.12,1.12,1.12
5505987,36,5/13/18,1.12,1.12,1.12,1.12
5505987,36,5/13/18,1.12,1.12,1.12,1.12
5505987,36,5/13/18,1.12,1.12,1.12,1.12
5505987,36,5/13/18,1.12,1.12,1.12,1.12
5505987,36,5/13/18,1.12,1.12,1.12,1.12
5505987,36,5/15/18,1.12,1.12,1.12,1.12
5505987,36,5/16/18,1.06,1.12,1.12,1.12
5505987,36,5/16/18,1.06,1.12,1.12,1.12
5505987,36,5/17/18,1.12,1.12,1.12,1.12
5505987,36,5/17/18,1.12,1.12,1.12,1.12
5505987,36,5/17/18,1.12,1.12,1.12,1.12
5505987,36,5/17/18,1.12,1.12,1.12,1.12
5505987,36,5/17/18,1.12,1.12,1.12,1.12
5505987,36,5/17/18,1.12,1.12,1.12,1.12
5505987,36,5/17/18,1.12,1.12,1.12,1.12
5505987,36,5/17/18,1.12,1.12,1.12,1.12
